DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0,0
07/03/2020,07,03,2020,2,20200307,0.13127994,0
08/03/2020,08,03,2020,3,20200308,0,0
09/03/2020,09,03,2020,4,20200309,0,0
10/03/2020,10,03,2020,5,20200310,0,0
11/03/2020,11,03,2020,6,20200311,0.13127994,0
12/03/2020,12,03,2020,7,20200312,0,0.037508554
13/03/2020,13,03,2020,8,20200313,0,0.037508554
14/03/2020,14,03,2020,9,20200314,0,0.018754277
15/03/2020,15,03,2020,10,20200315,0,0.018754277
16/03/2020,16,03,2020,11,20200316,0,0.018754277
17/03/2020,17,03,2020,12,20200317,0,0.018754277
18/03/2020,18,03,2020,13,20200318,0,0
19/03/2020,19,03,2020,14,20200319,0.13127994,0.018754277
20/03/2020,20,03,2020,15,20200320,0.13127994,0.037508554
21/03/2020,21,03,2020,16,20200321,0,0.037508554
22/03/2020,22,03,2020,17,20200322,0.39383982,0.093771386
23/03/2020,23,03,2020,18,20200323,0.26255988,0.13127994
24/03/2020,24,03,2020,19,20200324,0.13127994,0.150034217
25/03/2020,25,03,2020,20,20200325,0.6563997,0.243805603
26/03/2020,26,03,2020,21,20200326,0,0.225051326
27/03/2020,27,03,2020,22,20200327,0,0.206297049
28/03/2020,28,03,2020,23,20200328,0,0.206297049
29/03/2020,29,03,2020,24,20200329,0.78767964,0.26255988
30/03/2020,30,03,2020,25,20200330,0.6563997,0.318822712
31/03/2020,31,03,2020,26,20200331,0.52511976,0.375085543
01/04/2020,01,04,2020,27,20200401,0,0.281314157
02/04/2020,02,04,2020,28,20200402,0.91895958,0.412594097
03/04/2020,03,04,2020,29,20200403,0,0.412594097
04/04/2020,04,04,2020,30,20200404,1.83791916,0.675153977
05/04/2020,05,04,2020,31,20200405,1.18151946,0.731416809
06/04/2020,06,04,2020,32,20200406,0.91895958,0.768925363
07/04/2020,07,04,2020,33,20200407,0.52511976,0.768925363
08/04/2020,08,04,2020,34,20200408,0.6563997,0.862696749
09/04/2020,09,04,2020,35,20200409,0.78767964,0.843942472
10/04/2020,10,04,2020,36,20200410,0.26255988,0.881451026
11/04/2020,11,04,2020,37,20200411,1.57535928,0.843942472
12/04/2020,12,04,2020,38,20200412,1.9691991,0.956468135
13/04/2020,13,04,2020,39,20200413,1.57535928,1.05023952
14/04/2020,14,04,2020,40,20200414,1.70663922,1.219028015
15/04/2020,15,04,2020,41,20200415,3.544558381,1.631622112
16/04/2020,16,04,2020,42,20200416,5.382477541,2.288021812
17/04/2020,17,04,2020,43,20200417,1.57535928,2.475564583
18/04/2020,18,04,2020,44,20200418,4.200958081,2.850650126
19/04/2020,19,04,2020,45,20200419,0.39383982,2.625598801
20/04/2020,20,04,2020,46,20200420,3.675838321,2.925667235
21/04/2020,21,04,2020,47,20200421,3.675838321,3.206981392
22/04/2020,22,04,2020,48,20200422,5.645037421,3.507049827
23/04/2020,23,04,2020,49,20200423,7.351676642,3.788363984
24/04/2020,24,04,2020,50,20200424,8.664476042,4.80109495
25/04/2020,25,04,2020,51,20200425,3.150718561,4.651060733
26/04/2020,26,04,2020,52,20200426,0.52511976,4.66981501
27/04/2020,27,04,2020,53,20200427,9.977275442,5.570020313
28/04/2020,28,04,2020,54,20200428,9.977275442,6.470225616
29/04/2020,29,04,2020,55,20200429,14.57207334,7.745516462
30/04/2020,30,04,2020,56,20200430,9.058315862,7.989322065
01/05/2020,01,05,2020,57,20200501,4.988637721,7.464202305
02/05/2020,02,05,2020,58,20200502,4.069678141,7.595482245
03/05/2020,03,05,2020,59,20200503,0.91895958,7.651745076
04/05/2020,04,05,2020,60,20200504,7.876796402,7.351676642
05/05/2020,05,05,2020,61,20200505,7.482956582,6.995345376
06/05/2020,06,05,2020,62,20200506,7.351676642,5.963860133
07/05/2020,07,05,2020,63,20200507,6.038877241,5.532511758
08/05/2020,08,05,2020,64,20200508,5.119917661,5.551266036
09/05/2020,09,05,2020,65,20200509,7.745516462,6.076385796
10/05/2020,10,05,2020,66,20200510,3.281998501,6.413962784
11/05/2020,11,05,2020,67,20200511,6.695276942,6.24517429
12/05/2020,12,05,2020,68,20200512,13.52183382,7.107871039
13/05/2020,13,05,2020,69,20200513,14.70335328,8.158110559
14/05/2020,14,05,2020,70,20200514,15.88487274,9.564681345
15/05/2020,15,05,2020,71,20200515,12.60287424,10.63367514
16/05/2020,16,05,2020,72,20200516,11.1587949,11.12128635
17/05/2020,17,05,2020,73,20200517,1.05023952,10.80246364
18/05/2020,18,05,2020,74,20200518,11.29007484,11.45886334
19/05/2020,19,05,2020,75,20200519,16.01615268,11.8151946
