DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0,0
07/03/2020,07,03,2020,2,20200307,0,0
08/03/2020,08,03,2020,3,20200308,0,0
09/03/2020,09,03,2020,4,20200309,0,0
10/03/2020,10,03,2020,5,20200310,0,0
11/03/2020,11,03,2020,6,20200311,0,0
12/03/2020,12,03,2020,7,20200312,0,0
13/03/2020,13,03,2020,8,20200313,0,0
14/03/2020,14,03,2020,9,20200314,0,0
15/03/2020,15,03,2020,10,20200315,0,0
16/03/2020,16,03,2020,11,20200316,0,0
17/03/2020,17,03,2020,12,20200317,0,0
18/03/2020,18,03,2020,13,20200318,0,0
19/03/2020,19,03,2020,14,20200319,0.623573575,0.089081939
20/03/2020,20,03,2020,15,20200320,0,0.089081939
21/03/2020,21,03,2020,16,20200321,0,0.089081939
22/03/2020,22,03,2020,17,20200322,0,0.089081939
23/03/2020,23,03,2020,18,20200323,0,0.089081939
24/03/2020,24,03,2020,19,20200324,0,0.089081939
25/03/2020,25,03,2020,20,20200325,0.207857858,0.118775919
26/03/2020,26,03,2020,21,20200326,0,0.02969398
27/03/2020,27,03,2020,22,20200327,0,0.02969398
28/03/2020,28,03,2020,23,20200328,0.207857858,0.05938796
29/03/2020,29,03,2020,24,20200329,0,0.05938796
30/03/2020,30,03,2020,25,20200330,0.207857858,0.089081939
31/03/2020,31,03,2020,26,20200331,0.415715717,0.148469899
01/04/2020,01,04,2020,27,20200401,0.207857858,0.148469899
02/04/2020,02,04,2020,28,20200402,0.207857858,0.178163879
03/04/2020,03,04,2020,29,20200403,0.831431434,0.296939798
04/04/2020,04,04,2020,30,20200404,1.455005009,0.475103677
05/04/2020,05,04,2020,31,20200405,0.207857858,0.504797656
06/04/2020,06,04,2020,32,20200406,0.623573575,0.564185616
07/04/2020,07,04,2020,33,20200407,2.286436443,0.831431434
08/04/2020,08,04,2020,34,20200408,2.078578585,1.098677252
09/04/2020,09,04,2020,35,20200409,3.117867877,1.514392969
10/04/2020,10,04,2020,36,20200410,4.15715717,1.989496645
11/04/2020,11,04,2020,37,20200411,4.365015028,2.405212362
12/04/2020,12,04,2020,38,20200412,1.039289292,2.523988282
13/04/2020,13,04,2020,39,20200413,3.533583594,2.939703999
14/04/2020,14,04,2020,40,20200414,1.662862868,2.850622059
15/04/2020,15,04,2020,41,20200415,6.027877896,3.414807675
16/04/2020,16,04,2020,42,20200416,2.910010019,3.385113695
17/04/2020,17,04,2020,43,20200417,3.741441453,3.325725736
18/04/2020,18,04,2020,44,20200418,5.196446462,3.444501655
19/04/2020,19,04,2020,45,20200419,6.235735754,4.186851149
20/04/2020,20,04,2020,46,20200420,10.18503507,5.137058502
21/04/2020,21,04,2020,47,20200421,7.067167188,5.909101977
22/04/2020,22,04,2020,48,20200422,10.18503507,6.502981573
23/04/2020,23,04,2020,49,20200423,6.443593613,7.007779229
24/04/2020,24,04,2020,50,20200424,7.067167188,7.482882905
25/04/2020,25,04,2020,51,20200425,15.17362367,8.908193935
26/04/2020,26,04,2020,52,20200426,5.612162179,8.819111996
27/04/2020,27,04,2020,53,20200427,15.79719724,9.62084945
28/04/2020,28,04,2020,54,20200428,8.314314339,9.799013328
29/04/2020,29,04,2020,55,20200429,8.522172198,9.56146149
30/04/2020,30,04,2020,56,20200430,25.35865873,12.26361365
01/05/2020,01,05,2020,57,20200501,14.55005009,13.33259692
02/05/2020,02,05,2020,58,20200502,7.275025047,12.20422569
03/05/2020,03,05,2020,59,20200503,6.443593613,12.32300161
04/05/2020,04,05,2020,60,20200504,34.29654665,14.96576581
05/05/2020,05,05,2020,61,20200505,19.74649656,16.5989347
06/05/2020,06,05,2020,62,20200506,9.769319349,16.77709858
07/05/2020,07,05,2020,63,20200507,12.88718723,14.99545979
08/05/2020,08,05,2020,64,20200508,11.84789793,14.60943805
09/05/2020,09,05,2020,65,20200509,8.314314339,14.75790795
10/05/2020,10,05,2020,66,20200510,2.70215216,14.22341632
11/05/2020,11,05,2020,67,20200511,23.48793801,12.67932937
12/05/2020,12,05,2020,68,20200512,18.4993494,12.50116549
13/05/2020,13,05,2020,69,20200513,30.76296306,15.50025745
14/05/2020,14,05,2020,70,20200514,14.96576581,15.79719724
15/05/2020,15,05,2020,71,20200515,37.83013024,19.50894472
16/05/2020,16,05,2020,72,20200516,21.61721728,21.40935942
17/05/2020,17,05,2020,73,20200517,7.482882905,22.09232096
18/05/2020,18,05,2020,74,20200518,38.66156168,24.25998148
19/05/2020,19,05,2020,75,20200519,31.38653663,26.10100823
20/05/2020,20,05,2020,76,20200520,32.01011021,26.27917211
21/05/2020,21,05,2020,77,20200521,19.33078084,26.90274568
22/05/2020,22,05,2020,78,20200522,34.08868879,26.36825405
23/05/2020,23,05,2020,79,20200523,49.88588604,30.4066353
24/05/2020,24,05,2020,80,20200524,7.898598622,30.46602326
25/05/2020,25,05,2020,81,20200525,58.40805823,33.28695134
26/05/2020,26,05,2020,82,20200526,55.0823325,36.67206503
27/05/2020,27,05,2020,83,20200527,46.14444458,38.69125566
28/05/2020,28,05,2020,84,20200528,36.16726738,41.09646802
29/05/2020,29,05,2020,85,20200529,41.36371384,42.13575731
30/05/2020,30,05,2020,86,20200530,30.97082091,39.43360515
31/05/2020,31,05,2020,87,20200531,18.08363369,40.88861016
01/06/2020,01,06,2020,88,20200601,30.97082091,36.96900483
02/06/2020,02,06,2020,89,20200602,23.48793801,32.4555199
03/06/2020,03,06,2020,90,20200603,44.065866,32.15858011
04/06/2020,04,06,2020,91,20200604,28.68438447,31.08959683
05/06/2020,05,06,2020,92,20200605,45.72872887,31.71317041
06/06/2020,06,06,2020,93,20200606,42.40300313,33.3463393
07/06/2020,07,06,2020,94,20200607,33.88083093,35.60308176
08/06/2020,08,06,2020,95,20200608,30.5551052,35.5436938
09/06/2020,09,06,2020,96,20200609,32.63368378,36.85022891
10/06/2020,10,06,2020,97,20200610,43.65015028,36.79084095
11/06/2020,11,06,2020,98,20200611,74.6209712,43.35321048
12/06/2020,12,06,2020,99,20200612,46.5601603,43.4719864
13/06/2020,13,06,2020,100,20200613,27.0215216,41.2746319
14/06/2020,14,06,2020,101,20200614,24.94294302,39.99779077
15/06/2020,15,06,2020,102,20200615,33.0493995,40.35411853
16/06/2020,16,06,2020,103,20200616,36.37512523,40.88861016
17/06/2020,17,06,2020,104,20200617,39.49299311,40.29473057
18/06/2020,18,06,2020,105,20200618,24.11151158,33.07909348
19/06/2020,19,06,2020,106,20200619,29.72367376,30.67388112
20/06/2020,20,06,2020,107,20200620,49.26231246,33.85113695
21/06/2020,21,06,2020,108,20200621,10.60075078,31.80225235
22/06/2020,22,06,2020,109,20200622,43.02657671,33.22756338
23/06/2020,23,06,2020,110,20200623,25.15080088,31.62408847
24/06/2020,24,06,2020,111,20200624,38.66156168,31.50531255
25/06/2020,25,06,2020,112,20200625,31.59439449,32.57429582
26/06/2020,26,06,2020,113,20200626,22.65650657,31.56470051
27/06/2020,27,06,2020,114,20200627,27.85295304,28.50622059
28/06/2020,28,06,2020,115,20200628,8.106456481,28.14989283
29/06/2020,29,06,2020,116,20200629,25.35865873,25.62590455
30/06/2020,30,06,2020,117,20200630,18.4993494,24.6756972
01/07/2020,01,07,2020,118,20200701,27.43723732,23.07222229
02/07/2020,02,07,2020,119,20200702,26.81366374,22.38926076
03/07/2020,03,07,2020,120,20200703,32.21796806,23.75518383
04/07/2020,04,07,2020,121,20200704,20.78578585,22.74558851
05/07/2020,05,07,2020,122,20200705,17.46006011,24.0818176
06/07/2020,06,07,2020,123,20200706,26.60580589,24.25998148
07/07/2020,07,07,2020,124,20200707,22.24079086,24.79447312
08/07/2020,08,07,2020,125,20200708,22.86436443,24.14120556
09/07/2020,09,07,2020,126,20200709,11.84789793,22.00323902
10/07/2020,10,07,2020,127,20200710,38.24584596,22.86436443
11/07/2020,11,07,2020,128,20200711,40.94799812,25.74468047
12/07/2020,12,07,2020,129,20200712,14.75790795,25.35865873
13/07/2020,13,07,2020,130,20200713,20.78578585,24.5272273
14/07/2020,14,07,2020,131,20200714,56.32947965,29.39703999
15/07/2020,15,07,2020,132,20200715,33.67297307,30.94112693
16/07/2020,16,07,2020,133,20200716,43.02657671,35.3952239
17/07/2020,17,07,2020,134,20200717,35.12797808,34.9498142
18/07/2020,18,07,2020,135,20200718,43.02657671,35.246754
19/07/2020,19,07,2020,136,20200719,6.85930933,34.11838277
20/07/2020,20,07,2020,137,20200720,57.36876894,39.34452321
21/07/2020,21,07,2020,138,20200721,34.50440451,36.22665534
22/07/2020,22,07,2020,139,20200722,43.02657671,37.56288443
23/07/2020,23,07,2020,140,20200723,30.76296306,35.81093962
24/07/2020,24,07,2020,141,20200724,47.59944959,37.59257841
25/07/2020,25,07,2020,142,20200725,28.26866875,35.48430584
26/07/2020,26,07,2020,143,20200726,10.80860864,36.04849146
27/07/2020,27,07,2020,144,20200727,38.86941954,33.40572726
28/07/2020,28,07,2020,145,20200728,10.60075078,29.99091958
29/07/2020,29,07,2020,146,20200729,16.0050551,26.13070221
30/07/2020,30,07,2020,147,20200730,30.76296306,26.13070221
31/07/2020,31,07,2020,148,20200731,31.38653663,23.81457179
01/08/2020,01,08,2020,149,20200801,18.08363369,22.35956678
02/08/2020,02,08,2020,150,20200802,16.42077082,23.16130423
03/08/2020,03,08,2020,151,20200803,45.31301315,24.0818176
04/08/2020,04,08,2020,152,20200804,45.93658672,29.12979417
05/08/2020,05,08,2020,153,20200805,55.70590607,34.80134431
06/08/2020,06,08,2020,154,20200806,35.5436938,35.48430584
07/08/2020,07,08,2020,155,20200807,27.43723732,34.92012022
08/08/2020,08,08,2020,156,20200808,33.67297307,37.14716871
09/08/2020,09,08,2020,157,20200809,25.35865873,38.42400984
10/08/2020,10,08,2020,158,20200810,23.69579587,35.33583594
11/08/2020,11,08,2020,159,20200811,30.76296306,33.16817542
12/08/2020,12,08,2020,160,20200812,56.12162179,33.22756338
13/08/2020,13,08,2020,161,20200813,40.94799812,33.99960685
14/08/2020,14,08,2020,162,20200814,36.99869881,35.36552992
15/08/2020,15,08,2020,163,20200815,32.84154164,35.246754
16/08/2020,16,08,2020,164,20200816,17.87577583,34.17777073
17/08/2020,17,08,2020,165,20200817,32.21796806,35.3952239
18/08/2020,18,08,2020,166,20200818,32.21796806,35.60308176
19/08/2020,19,08,2020,167,20200819,41.5715717,33.52450318
20/08/2020,20,08,2020,168,20200820,25.15080088,31.26776071
21/08/2020,21,08,2020,169,20200821,27.64509518,29.93153162
22/08/2020,22,08,2020,170,20200822,14.96576581,27.37784936
23/08/2020,23,08,2020,171,20200823,7.898598622,25.95253833
24/08/2020,24,08,2020,172,20200824,30.97082091,25.77437445
25/08/2020,25,08,2020,173,20200825,28.0608109,25.18049486
26/08/2020,26,08,2020,174,20200826,29.93153162,23.51763199
27/08/2020,27,08,2020,175,20200827,10.39289292,21.40935942
28/08/2020,28,08,2020,176,20200828,29.93153162,21.7359932
29/08/2020,29,08,2020,177,20200829,22.032933,22.74558851
30/08/2020,30,08,2020,178,20200830,11.22432436,23.22069219
31/08/2020,31,08,2020,179,20200831,6.235735754,19.6871086
