DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0,0.0
07/03/2020,07,03,2020,2,20200307,0,0.0
08/03/2020,08,03,2020,3,20200308,0,0.0
09/03/2020,09,03,2020,4,20200309,0,0.0
10/03/2020,10,03,2020,5,20200310,0,0.0
11/03/2020,11,03,2020,6,20200311,0,0.0
12/03/2020,12,03,2020,7,20200312,0,0.0
13/03/2020,13,03,2020,8,20200313,0,0.0
14/03/2020,14,03,2020,9,20200314,0,0.0
15/03/2020,15,03,2020,10,20200315,0,0.0
16/03/2020,16,03,2020,11,20200316,0,0.0
17/03/2020,17,03,2020,12,20200317,0,0.0
18/03/2020,18,03,2020,13,20200318,0,0.0
19/03/2020,19,03,2020,14,20200319,0,0.0
20/03/2020,20,03,2020,15,20200320,0,0.0
21/03/2020,21,03,2020,16,20200321,0,0.0
22/03/2020,22,03,2020,17,20200322,0,0.0
23/03/2020,23,03,2020,18,20200323,0,0.0
24/03/2020,24,03,2020,19,20200324,0,0.0
25/03/2020,25,03,2020,20,20200325,0,0.0
26/03/2020,26,03,2020,21,20200326,0,0.0
27/03/2020,27,03,2020,22,20200327,0,0.0
28/03/2020,28,03,2020,23,20200328,0,0.0
29/03/2020,29,03,2020,24,20200329,0,0.0
30/03/2020,30,03,2020,25,20200330,0,0.0
31/03/2020,31,03,2020,26,20200331,0,0.0
01/04/2020,01,04,2020,27,20200401,0,0.0
02/04/2020,02,04,2020,28,20200402,0,0.0
03/04/2020,03,04,2020,29,20200403,0,0.0
04/04/2020,04,04,2020,30,20200404,0,0.0
05/04/2020,05,04,2020,31,20200405,0,0.0
06/04/2020,06,04,2020,32,20200406,0.159647243,0.0
07/04/2020,07,04,2020,33,20200407,0,0.0
08/04/2020,08,04,2020,34,20200408,0,0.0
09/04/2020,09,04,2020,35,20200409,0.159647243,0.0
10/04/2020,10,04,2020,36,20200410,0,0.0
11/04/2020,11,04,2020,37,20200411,0.159647243,0.1
12/04/2020,12,04,2020,38,20200412,0,0.1
13/04/2020,13,04,2020,39,20200413,0.159647243,0.1
14/04/2020,14,04,2020,40,20200414,0,0.1
15/04/2020,15,04,2020,41,20200415,0.638588974,0.2
16/04/2020,16,04,2020,42,20200416,0.319294487,0.2
17/04/2020,17,04,2020,43,20200417,0.638588974,0.3
18/04/2020,18,04,2020,44,20200418,1.436825191,0.5
19/04/2020,19,04,2020,45,20200419,0,0.5
20/04/2020,20,04,2020,46,20200420,1.596472435,0.7
21/04/2020,21,04,2020,47,20200421,2.554355895,1.0
22/04/2020,22,04,2020,48,20200422,1.277177948,1.1
23/04/2020,23,04,2020,49,20200423,1.277177948,1.3
24/04/2020,24,04,2020,50,20200424,2.714003139,1.6
25/04/2020,25,04,2020,51,20200425,3.033297626,1.8
26/04/2020,26,04,2020,52,20200426,2.075414165,2.1
27/04/2020,27,04,2020,53,20200427,4.470122817,2.5
28/04/2020,28,04,2020,54,20200428,3.512239356,2.6
29/04/2020,29,04,2020,55,20200429,3.192944869,2.9
30/04/2020,30,04,2020,56,20200430,4.62977006,3.4
01/05/2020,01,05,2020,57,20200501,1.596472435,3.2
02/05/2020,02,05,2020,58,20200502,2.235061408,3.1
03/05/2020,03,05,2020,59,20200503,1.756119678,3.1
04/05/2020,04,05,2020,60,20200504,2.075414165,2.7
05/05/2020,05,05,2020,61,20200505,3.192944869,2.7
06/05/2020,06,05,2020,62,20200506,0.957883461,2.3
07/05/2020,07,05,2020,63,20200507,0.47894173,1.8
08/05/2020,08,05,2020,64,20200508,0.159647243,1.6
09/05/2020,09,05,2020,65,20200509,1.277177948,1.4
10/05/2020,10,05,2020,66,20200510,0.159647243,1.2
11/05/2020,11,05,2020,67,20200511,0.47894173,1.0
12/05/2020,12,05,2020,68,20200512,0.957883461,0.6
13/05/2020,13,05,2020,69,20200513,0.47894173,0.6
14/05/2020,14,05,2020,70,20200514,0.319294487,0.5
15/05/2020,15,05,2020,71,20200515,1.436825191,0.7
16/05/2020,16,05,2020,72,20200516,0.47894173,0.6
17/05/2020,17,05,2020,73,20200517,0,0.6
18/05/2020,18,05,2020,74,20200518,1.117530704,0.7
19/05/2020,19,05,2020,75,20200519,1.117530704,0.7
20/05/2020,20,05,2020,76,20200520,1.436825191,0.8
21/05/2020,21,05,2020,77,20200521,5.906948008,1.6
22/05/2020,22,05,2020,78,20200522,3.991181086,2.0
23/05/2020,23,05,2020,79,20200523,1.596472435,2.2
24/05/2020,24,05,2020,80,20200524,0.319294487,2.2
25/05/2020,25,05,2020,81,20200525,5.10871179,2.8
26/05/2020,26,05,2020,82,20200526,0.47894173,2.7
27/05/2020,27,05,2020,83,20200527,3.192944869,2.9
28/05/2020,28,05,2020,84,20200528,2.554355895,2.5
29/05/2020,29,05,2020,85,20200529,6.705184225,2.9
30/05/2020,30,05,2020,86,20200530,2.714003139,3.0
31/05/2020,31,05,2020,87,20200531,0.159647243,3.0
01/06/2020,01,06,2020,88,20200601,1.117530704,2.4
02/06/2020,02,06,2020,89,20200602,2.235061408,2.7
03/06/2020,03,06,2020,90,20200603,3.033297626,2.6
04/06/2020,04,06,2020,91,20200604,4.310475573,2.9
05/06/2020,05,06,2020,92,20200605,1.117530704,2.1
06/06/2020,06,06,2020,93,20200606,1.117530704,1.9
07/06/2020,07,06,2020,94,20200607,0.319294487,1.9
08/06/2020,08,06,2020,95,20200608,2.873650382,2.1
09/06/2020,09,06,2020,96,20200609,3.512239356,2.3
10/06/2020,10,06,2020,97,20200610,4.949064547,2.6
11/06/2020,11,06,2020,98,20200611,1.436825191,2.2
12/06/2020,12,06,2020,99,20200612,1.915766921,2.3
13/06/2020,13,06,2020,100,20200613,2.235061408,2.5
14/06/2020,14,06,2020,101,20200614,1.117530704,2.6
15/06/2020,15,06,2020,102,20200615,1.436825191,2.4
16/06/2020,16,06,2020,103,20200616,1.277177948,2.1
17/06/2020,17,06,2020,104,20200617,1.596472435,1.6
18/06/2020,18,06,2020,105,20200618,1.117530704,1.5
19/06/2020,19,06,2020,106,20200619,2.394708652,1.6
20/06/2020,20,06,2020,107,20200620,1.756119678,1.5
21/06/2020,21,06,2020,108,20200621,1.436825191,1.6
22/06/2020,22,06,2020,109,20200622,3.512239356,1.9
23/06/2020,23,06,2020,110,20200623,3.033297626,2.1
24/06/2020,24,06,2020,111,20200624,2.394708652,2.2
25/06/2020,25,06,2020,112,20200625,0.638588974,2.2
26/06/2020,26,06,2020,113,20200626,3.192944869,2.3
27/06/2020,27,06,2020,114,20200627,2.394708652,2.4
28/06/2020,28,06,2020,115,20200628,0.319294487,2.2
29/06/2020,29,06,2020,116,20200629,3.671886599,2.2
30/06/2020,30,06,2020,117,20200630,3.192944869,2.3
01/07/2020,01,07,2020,118,20200701,2.873650382,2.3
02/07/2020,02,07,2020,119,20200702,3.033297626,2.7
03/07/2020,03,07,2020,120,20200703,2.235061408,2.5
04/07/2020,04,07,2020,121,20200704,3.033297626,2.6
05/07/2020,05,07,2020,122,20200705,2.075414165,2.9
06/07/2020,06,07,2020,123,20200706,3.033297626,2.8
07/07/2020,07,07,2020,124,20200707,2.873650382,2.7
08/07/2020,08,07,2020,125,20200708,0.957883461,2.5
09/07/2020,09,07,2020,126,20200709,0.47894173,2.1
10/07/2020,10,07,2020,127,20200710,3.352592112,2.3
11/07/2020,11,07,2020,128,20200711,1.596472435,2.1
12/07/2020,12,07,2020,129,20200712,2.394708652,2.1
13/07/2020,13,07,2020,130,20200713,1.117530704,1.8
14/07/2020,14,07,2020,131,20200714,1.277177948,1.6
15/07/2020,15,07,2020,132,20200715,2.873650382,1.9
16/07/2020,16,07,2020,133,20200716,11.81389602,3.5
17/07/2020,17,07,2020,134,20200717,1.915766921,3.3
18/07/2020,18,07,2020,135,20200718,6.226242495,3.9
