DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0,0
07/03/2020,07,03,2020,2,20200307,0,0
08/03/2020,08,03,2020,3,20200308,0,0
09/03/2020,09,03,2020,4,20200309,0,0
10/03/2020,10,03,2020,5,20200310,0,0
11/03/2020,11,03,2020,6,20200311,0,0
12/03/2020,12,03,2020,7,20200312,0,0
13/03/2020,13,03,2020,8,20200313,0.149135313,0.021305045
14/03/2020,14,03,2020,9,20200314,0,0.021305045
15/03/2020,15,03,2020,10,20200315,0,0.021305045
16/03/2020,16,03,2020,11,20200316,0,0.021305045
17/03/2020,17,03,2020,12,20200317,0,0.021305045
18/03/2020,18,03,2020,13,20200318,0.44740594,0.085220179
19/03/2020,19,03,2020,14,20200319,0,0.085220179
20/03/2020,20,03,2020,15,20200320,0,0.063915134
21/03/2020,21,03,2020,16,20200321,0,0.063915134
22/03/2020,22,03,2020,17,20200322,0.298270627,0.106525224
23/03/2020,23,03,2020,18,20200323,0,0.106525224
24/03/2020,24,03,2020,19,20200324,0.596541254,0.191745403
25/03/2020,25,03,2020,20,20200325,0,0.127830269
26/03/2020,26,03,2020,21,20200326,0,0.127830269
27/03/2020,27,03,2020,22,20200327,0.149135313,0.149135313
28/03/2020,28,03,2020,23,20200328,0.894811881,0.276965582
29/03/2020,29,03,2020,24,20200329,1.193082508,0.404795851
30/03/2020,30,03,2020,25,20200330,0.149135313,0.426100896
31/03/2020,31,03,2020,26,20200331,1.193082508,0.511321075
01/04/2020,01,04,2020,27,20200401,0.596541254,0.596541254
02/04/2020,02,04,2020,28,20200402,0.894811881,0.724371522
03/04/2020,03,04,2020,29,20200403,0.596541254,0.788286657
04/04/2020,04,04,2020,30,20200404,0.596541254,0.745676567
05/04/2020,05,04,2020,31,20200405,0.298270627,0.617846299
06/04/2020,06,04,2020,32,20200406,0,0.596541254
07/04/2020,07,04,2020,33,20200407,0,0.426100896
08/04/2020,08,04,2020,34,20200408,0.149135313,0.362185761
09/04/2020,09,04,2020,35,20200409,0.298270627,0.276965582
10/04/2020,10,04,2020,36,20200410,0,0.191745403
11/04/2020,11,04,2020,37,20200411,0.149135313,0.127830269
12/04/2020,12,04,2020,38,20200412,0,0.085220179
13/04/2020,13,04,2020,39,20200413,0.149135313,0.106525224
14/04/2020,14,04,2020,40,20200414,0.149135313,0.127830269
15/04/2020,15,04,2020,41,20200415,0,0.106525224
16/04/2020,16,04,2020,42,20200416,0.298270627,0.106525224
17/04/2020,17,04,2020,43,20200417,0.149135313,0.127830269
18/04/2020,18,04,2020,44,20200418,0,0.106525224
19/04/2020,19,04,2020,45,20200419,0,0.106525224
20/04/2020,20,04,2020,46,20200420,0,0.085220179
21/04/2020,21,04,2020,47,20200421,0,0.063915134
22/04/2020,22,04,2020,48,20200422,0.149135313,0.085220179
23/04/2020,23,04,2020,49,20200423,0.298270627,0.085220179
24/04/2020,24,04,2020,50,20200424,0.149135313,0.085220179
25/04/2020,25,04,2020,51,20200425,0,0.085220179
26/04/2020,26,04,2020,52,20200426,0,0.085220179
27/04/2020,27,04,2020,53,20200427,0,0.085220179
28/04/2020,28,04,2020,54,20200428,0,0.085220179
29/04/2020,29,04,2020,55,20200429,0.298270627,0.106525224
30/04/2020,30,04,2020,56,20200430,0,0.063915134
01/05/2020,01,05,2020,57,20200501,0,0.04261009
02/05/2020,02,05,2020,58,20200502,0,0.04261009
03/05/2020,03,05,2020,59,20200503,0,0.04261009
04/05/2020,04,05,2020,60,20200504,0.149135313,0.063915134
05/05/2020,05,05,2020,61,20200505,0,0.063915134
06/05/2020,06,05,2020,62,20200506,0.298270627,0.063915134
07/05/2020,07,05,2020,63,20200507,0.596541254,0.149135313
08/05/2020,08,05,2020,64,20200508,0.298270627,0.191745403
09/05/2020,09,05,2020,65,20200509,0,0.191745403
10/05/2020,10,05,2020,66,20200510,0,0.191745403
11/05/2020,11,05,2020,67,20200511,0,0.170440358
12/05/2020,12,05,2020,68,20200512,0.149135313,0.191745403
13/05/2020,13,05,2020,69,20200513,0.298270627,0.191745403
14/05/2020,14,05,2020,70,20200514,0,0.106525224
15/05/2020,15,05,2020,71,20200515,0.149135313,0.085220179
16/05/2020,16,05,2020,72,20200516,0,0.085220179
17/05/2020,17,05,2020,73,20200517,0,0.085220179
18/05/2020,18,05,2020,74,20200518,0.149135313,0.106525224
19/05/2020,19,05,2020,75,20200519,0,0.085220179
20/05/2020,20,05,2020,76,20200520,0.149135313,0.063915134
21/05/2020,21,05,2020,77,20200521,0.745676567,0.170440358
22/05/2020,22,05,2020,78,20200522,0.44740594,0.213050448
23/05/2020,23,05,2020,79,20200523,0.149135313,0.234355493
24/05/2020,24,05,2020,80,20200524,0,0.234355493
25/05/2020,25,05,2020,81,20200525,1.043947194,0.362185761
26/05/2020,26,05,2020,82,20200526,0.44740594,0.426100896
27/05/2020,27,05,2020,83,20200527,0.298270627,0.44740594
28/05/2020,28,05,2020,84,20200528,0,0.340880716
29/05/2020,29,05,2020,85,20200529,0.596541254,0.362185761
30/05/2020,30,05,2020,86,20200530,0,0.340880716
31/05/2020,31,05,2020,87,20200531,0,0.340880716
01/06/2020,01,06,2020,88,20200601,0.44740594,0.255660537
02/06/2020,02,06,2020,89,20200602,0.745676567,0.298270627
03/06/2020,03,06,2020,90,20200603,0.596541254,0.340880716
04/06/2020,04,06,2020,91,20200604,0.149135313,0.362185761
05/06/2020,05,06,2020,92,20200605,0.894811881,0.404795851
06/06/2020,06,06,2020,93,20200606,4.623194717,1.065252239
07/06/2020,07,06,2020,94,20200607,2.087894388,1.363522866
08/06/2020,08,06,2020,95,20200608,0,1.299607732
09/06/2020,09,06,2020,96,20200609,0.745676567,1.299607732
10/06/2020,10,06,2020,97,20200610,0.894811881,1.342217821
11/06/2020,11,06,2020,98,20200611,0.298270627,1.363522866
12/06/2020,12,06,2020,99,20200612,4.175788777,1.832233851
13/06/2020,13,06,2020,100,20200613,1.342217821,1.363522866
14/06/2020,14,06,2020,101,20200614,0,1.065252239
15/06/2020,15,06,2020,102,20200615,0.44740594,1.129167373
16/06/2020,16,06,2020,103,20200616,0.745676567,1.129167373
17/06/2020,17,06,2020,104,20200617,2.535300329,1.363522866
18/06/2020,18,06,2020,105,20200618,0.894811881,1.448743045
19/06/2020,19,06,2020,106,20200619,1.043947194,1.001337105
20/06/2020,20,06,2020,107,20200620,4.175788777,1.406132955
21/06/2020,21,06,2020,108,20200621,0,1.406132955
22/06/2020,22,06,2020,109,20200622,0,1.342217821
23/06/2020,23,06,2020,110,20200623,0.894811881,1.363522866
24/06/2020,24,06,2020,111,20200624,0,1.001337105
25/06/2020,25,06,2020,112,20200625,0.745676567,0.98003206
26/06/2020,26,06,2020,113,20200626,2.386165015,1.171777463
27/06/2020,27,06,2020,114,20200627,0.745676567,0.681761433
28/06/2020,28,06,2020,115,20200628,0,0.681761433
29/06/2020,29,06,2020,116,20200629,1.342217821,0.873506836
30/06/2020,30,06,2020,117,20200630,2.087894388,1.043947194
01/07/2020,01,07,2020,118,20200701,0,1.043947194
02/07/2020,02,07,2020,119,20200702,2.535300329,1.299607732
03/07/2020,03,07,2020,120,20200703,1.938759075,1.235692597
04/07/2020,04,07,2020,121,20200704,0.149135313,1.150472418
05/07/2020,05,07,2020,122,20200705,2.237029702,1.47004809
06/07/2020,06,07,2020,123,20200706,1.789623761,1.533963224
07/07/2020,07,07,2020,124,20200707,3.280976896,1.704403582
08/07/2020,08,07,2020,125,20200708,1.789623761,1.96006412
09/07/2020,09,07,2020,126,20200709,3.131841583,2.045284299
10/07/2020,10,07,2020,127,20200710,5.816277225,2.599215463
11/07/2020,11,07,2020,128,20200711,7.158495046,3.600552568
12/07/2020,12,07,2020,129,20200712,0,3.280976896
13/07/2020,13,07,2020,130,20200713,6.561953792,3.962738329
14/07/2020,14,07,2020,131,20200714,7.7550363,4.601889672
15/07/2020,15,07,2020,132,20200715,8.948118807,5.624531822
16/07/2020,16,07,2020,133,20200716,5.667141911,5.986717583
17/07/2020,17,07,2020,134,20200717,9.395524748,6.498038658
18/07/2020,18,07,2020,135,20200718,11.93082508,7.179800091
19/07/2020,19,07,2020,136,20200719,0,7.179800091
20/07/2020,20,07,2020,137,20200720,6.561953792,7.179800091
21/07/2020,21,07,2020,138,20200721,13.86958415,8.053306926
22/07/2020,22,07,2020,139,20200722,22.37029702,9.970760957
23/07/2020,23,07,2020,140,20200723,2.833570956,9.565965106
24/07/2020,24,07,2020,141,20200724,17.59796699,10.73774257
25/07/2020,25,07,2020,142,20200725,17.7471023,11.56863931
26/07/2020,26,07,2020,143,20200726,20.28240263,14.4661254
27/07/2020,27,07,2020,144,20200727,6.263683165,14.42351532
28/07/2020,28,07,2020,145,20200728,3.579247523,12.95346723
29/07/2020,29,07,2020,146,20200729,24.01078547,13.18782272
30/07/2020,30,07,2020,147,20200730,15.36093729,14.97744648
31/07/2020,31,07,2020,148,20200731,29.08138612,16.61793493
01/08/2020,01,08,2020,149,20200801,11.63255445,15.74442809
02/08/2020,02,08,2020,150,20200802,0,12.846942
03/08/2020,03,08,2020,151,20200803,15.36093729,14.14654973
04/08/2020,04,08,2020,152,20200804,18.49277887,16.27705421
05/08/2020,05,08,2020,153,20200805,15.06266666,14.99875152
06/08/2020,06,08,2020,154,20200806,24.60732672,16.3196643
07/08/2020,07,08,2020,155,20200807,28.33570956,16.21313908
08/08/2020,08,08,2020,156,20200808,7.158495046,15.57398773
09/08/2020,09,08,2020,157,20200809,22.96683827,18.85496463
10/08/2020,10,08,2020,158,20200810,17.59796699,19.1745403
11/08/2020,11,08,2020,159,20200811,24.30905609,20.00543705
12/08/2020,12,08,2020,160,20200812,20.58067326,20.7937237
13/08/2020,13,08,2020,161,20200813,23.11597359,20.58067326
14/08/2020,14,08,2020,162,20200814,23.86165015,19.94152191
15/08/2020,15,08,2020,163,20200815,19.68586138,21.73114567
16/08/2020,16,08,2020,164,20200816,0.745676567,18.556694
17/08/2020,17,08,2020,165,20200817,16.10661385,18.34364355
18/08/2020,18,08,2020,166,20200818,21.77375576,17.98145779
19/08/2020,19,08,2020,167,20200819,27.14262705,18.91887976
20/08/2020,20,08,2020,168,20200820,24.30905609,19.08932012
21/08/2020,21,08,2020,169,20200821,3.579247523,16.19183403
22/08/2020,22,08,2020,170,20200822,20.87894388,16.36227439
23/08/2020,23,08,2020,171,20200823,0,16.25574917
24/08/2020,24,08,2020,172,20200824,7.456765673,15.02005657
25/08/2020,25,08,2020,173,20200825,13.86958415,13.8908892
26/08/2020,26,08,2020,174,20200826,18.04537293,12.59128146
27/08/2020,27,08,2020,175,20200827,5.965412538,9.970760957
28/08/2020,28,08,2020,176,20200828,25.20386797,13.05999245
29/08/2020,29,08,2020,177,20200829,10.88687788,11.63255445
30/08/2020,30,08,2020,178,20200830,0,11.63255445
31/08/2020,31,08,2020,179,20200831,4.921465344,11.27036869
