DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0,0
07/03/2020,07,03,2020,2,20200307,0,0
08/03/2020,08,03,2020,3,20200308,0,0
09/03/2020,09,03,2020,4,20200309,0,0
10/03/2020,10,03,2020,5,20200310,0,0
11/03/2020,11,03,2020,6,20200311,0.205614933,0
12/03/2020,12,03,2020,7,20200312,0,0.029373562
13/03/2020,13,03,2020,8,20200313,0,0.029373562
14/03/2020,14,03,2020,9,20200314,0,0.029373562
15/03/2020,15,03,2020,10,20200315,0,0.029373562
16/03/2020,16,03,2020,11,20200316,0,0.029373562
17/03/2020,17,03,2020,12,20200317,0,0.029373562
18/03/2020,18,03,2020,13,20200318,0,0
19/03/2020,19,03,2020,14,20200319,0,0
20/03/2020,20,03,2020,15,20200320,0,0
21/03/2020,21,03,2020,16,20200321,0,0
22/03/2020,22,03,2020,17,20200322,0.205614933,0.029373562
23/03/2020,23,03,2020,18,20200323,0,0.029373562
24/03/2020,24,03,2020,19,20200324,0,0.029373562
25/03/2020,25,03,2020,20,20200325,0.205614933,0.058747124
26/03/2020,26,03,2020,21,20200326,0,0.058747124
27/03/2020,27,03,2020,22,20200327,0.205614933,0.088120685
28/03/2020,28,03,2020,23,20200328,0,0.088120685
29/03/2020,29,03,2020,24,20200329,0.205614933,0.088120685
30/03/2020,30,03,2020,25,20200330,0,0.088120685
31/03/2020,31,03,2020,26,20200331,0.616844798,0.176241371
01/04/2020,01,04,2020,27,20200401,0,0.146867809
02/04/2020,02,04,2020,28,20200402,0,0.146867809
03/04/2020,03,04,2020,29,20200403,0.205614933,0.146867809
04/04/2020,04,04,2020,30,20200404,1.028074663,0.293735618
05/04/2020,05,04,2020,31,20200405,0.82245973,0.381856303
06/04/2020,06,04,2020,32,20200406,1.233689595,0.558097674
07/04/2020,07,04,2020,33,20200407,0.82245973,0.587471236
08/04/2020,08,04,2020,34,20200408,1.233689595,0.763712607
09/04/2020,09,04,2020,35,20200409,0.616844798,0.851833292
10/04/2020,10,04,2020,36,20200410,2.261764258,1.14556891
11/04/2020,11,04,2020,37,20200411,1.644919461,1.233689595
12/04/2020,12,04,2020,38,20200412,0,1.116195348
13/04/2020,13,04,2020,39,20200413,3.289838921,1.409930966
14/04/2020,14,04,2020,40,20200414,1.233689595,1.46867809
15/04/2020,15,04,2020,41,20200415,0.616844798,1.380557404
16/04/2020,16,04,2020,42,20200416,2.056149326,1.586172337
17/04/2020,17,04,2020,43,20200417,0.82245973,1.380557404
18/04/2020,18,04,2020,44,20200418,0.82245973,1.263063157
19/04/2020,19,04,2020,45,20200419,0.411229865,1.321810281
20/04/2020,20,04,2020,46,20200420,1.028074663,0.998701101
21/04/2020,21,04,2020,47,20200421,2.878609056,1.233689595
22/04/2020,22,04,2020,48,20200422,2.261764258,1.46867809
23/04/2020,23,04,2020,49,20200423,0.82245973,1.292436719
24/04/2020,24,04,2020,50,20200424,1.233689595,1.351183843
25/04/2020,25,04,2020,51,20200425,1.028074663,1.380557404
26/04/2020,26,04,2020,52,20200426,0.616844798,1.409930966
27/04/2020,27,04,2020,53,20200427,2.467379191,1.615545899
28/04/2020,28,04,2020,54,20200428,1.439304528,1.409930966
29/04/2020,29,04,2020,55,20200429,7.813367438,2.203017135
30/04/2020,30,04,2020,56,20200430,1.439304528,2.29113782
01/05/2020,01,05,2020,57,20200501,1.644919461,2.349884944
02/05/2020,02,05,2020,58,20200502,3.289838921,2.672994124
03/05/2020,03,05,2020,59,20200503,2.467379191,2.93735618
04/05/2020,04,05,2020,60,20200504,2.056149326,2.878609056
05/05/2020,05,05,2020,61,20200505,1.850534393,2.93735618
06/05/2020,06,05,2020,62,20200506,2.261764258,2.144270011
07/05/2020,07,05,2020,63,20200507,2.672994124,2.320511382
08/05/2020,08,05,2020,64,20200508,3.495453854,2.584873438
09/05/2020,09,05,2020,65,20200509,1.439304528,2.320511382
10/05/2020,10,05,2020,66,20200510,0,1.96802864
11/05/2020,11,05,2020,67,20200511,1.644919461,1.909281517
12/05/2020,12,05,2020,68,20200512,6.785292775,2.614247
13/05/2020,13,05,2020,69,20200513,1.439304528,2.496752753
14/05/2020,14,05,2020,70,20200514,3.701068786,2.643620562
15/05/2020,15,05,2020,71,20200515,2.878609056,2.555499876
16/05/2020,16,05,2020,72,20200516,0.616844798,2.438005629
17/05/2020,17,05,2020,73,20200517,3.701068786,2.966729741
18/05/2020,18,05,2020,74,20200518,4.934758382,3.43670673
19/05/2020,19,05,2020,75,20200519,3.701068786,2.996103303
20/05/2020,20,05,2020,76,20200520,4.934758382,3.495453854
21/05/2020,21,05,2020,77,20200521,2.672994124,3.348586045
22/05/2020,22,05,2020,78,20200522,3.289838921,3.407333168
23/05/2020,23,05,2020,79,20200523,4.523528517,3.965430843
24/05/2020,24,05,2020,80,20200524,1.644919461,3.671695225
25/05/2020,25,05,2020,81,20200525,6.990907708,3.965430843
26/05/2020,26,05,2020,82,20200526,6.785292775,4.40603427
27/05/2020,27,05,2020,83,20200527,3.495453854,4.200419337
28/05/2020,28,05,2020,84,20200528,1.850534393,4.08292509
29/05/2020,29,05,2020,85,20200529,11.10320636,5.199120438
30/05/2020,30,05,2020,86,20200530,6.168447977,5.434108932
31/05/2020,31,05,2020,87,20200531,3.495453854,5.698470989
01/06/2020,01,06,2020,88,20200601,0.82245973,4.817264135
02/06/2020,02,06,2020,89,20200602,4.523528517,4.494154955
03/06/2020,03,06,2020,90,20200603,1.233689595,4.171045775
04/06/2020,04,06,2020,91,20200604,4.729143449,4.58227564
05/06/2020,05,06,2020,92,20200605,7.813367438,4.112298652
06/06/2020,06,06,2020,93,20200606,17.27165434,5.698470989
07/06/2020,07,06,2020,94,20200607,10.48636156,6.69717209
08/06/2020,08,06,2020,95,20200608,6.579677843,7.51963182
09/06/2020,09,06,2020,96,20200609,6.579677843,7.813367438
10/06/2020,10,06,2020,97,20200610,9.663901831,9.017683472
11/06/2020,11,06,2020,98,20200611,9.869516764,9.752022517
12/06/2020,12,06,2020,99,20200612,3.701068786,9.164551281
13/06/2020,13,06,2020,100,20200613,8.635827168,7.930861685
14/06/2020,14,06,2020,101,20200614,0.616844798,6.520930719
15/06/2020,15,06,2020,102,20200615,9.663901831,6.961534146
16/06/2020,16,06,2020,103,20200616,7.813367438,7.137775517
17/06/2020,17,06,2020,104,20200617,11.30882129,7.372764011
18/06/2020,18,06,2020,105,20200618,1.028074663,6.109700854
19/06/2020,19,06,2020,106,20200619,2.672994124,5.962833045
20/06/2020,20,06,2020,107,20200620,10.48636156,6.227195101
21/06/2020,21,06,2020,108,20200621,2.261764258,6.462183595
22/06/2020,22,06,2020,109,20200622,11.10320636,6.667798528
23/06/2020,23,06,2020,110,20200623,11.92566609,7.255269764
24/06/2020,24,06,2020,111,20200624,3.289838921,6.109700854
25/06/2020,25,06,2020,112,20200625,5.345988247,6.726545652
26/06/2020,26,06,2020,113,20200626,6.785292775,7.314016887
27/06/2020,27,06,2020,114,20200627,5.140373314,6.550304281
28/06/2020,28,06,2020,115,20200628,6.990907708,7.225896202
29/06/2020,29,06,2020,116,20200629,4.729143449,6.315315786
30/06/2020,30,06,2020,117,20200630,1.644919461,4.846637697
01/07/2020,01,07,2020,118,20200701,7.813367438,5.492856056
02/07/2020,02,07,2020,119,20200702,5.55160318,5.522229618
03/07/2020,03,07,2020,120,20200703,3.289838921,5.022879067
04/07/2020,04,07,2020,121,20200704,5.962833045,5.140373314
05/07/2020,05,07,2020,122,20200705,17.6828842,6.667798528
06/07/2020,06,07,2020,123,20200706,14.59866021,8.077729494
07/07/2020,07,07,2020,124,20200707,10.48636156,9.340792651
08/07/2020,08,07,2020,125,20200708,6.990907708,9.223298404
09/07/2020,09,07,2020,126,20200709,11.10320636,10.01638457
10/07/2020,10,07,2020,127,20200710,4.317913584,10.16325238
11/07/2020,11,07,2020,128,20200711,6.168447977,10.19262594
12/07/2020,12,07,2020,129,20200712,2.672994124,8.048355932
13/07/2020,13,07,2020,130,20200713,7.813367438,7.079028393
14/07/2020,14,07,2020,131,20200714,10.0751317,7.020281269
15/07/2020,15,07,2020,132,20200715,2.467379191,6.37406291
16/07/2020,16,07,2020,133,20200716,8.224597303,5.962833045
17/07/2020,17,07,2020,134,20200717,3.701068786,5.874712359
18/07/2020,18,07,2020,135,20200718,0.82245973,5.110999753
19/07/2020,19,07,2020,136,20200719,3.495453854,5.228494
20/07/2020,20,07,2020,137,20200720,5.962833045,4.964131944
21/07/2020,21,07,2020,138,20200721,0.205614933,3.554200977
22/07/2020,22,07,2020,139,20200722,3.701068786,3.730442348
23/07/2020,23,07,2020,140,20200723,4.112298652,3.142971112
24/07/2020,24,07,2020,141,20200724,0.616844798,2.702367685
25/07/2020,25,07,2020,142,20200725,2.056149326,2.878609056
26/07/2020,26,07,2020,143,20200726,0.616844798,2.467379191
27/07/2020,27,07,2020,144,20200727,0,1.615545899
28/07/2020,28,07,2020,145,20200728,4.729143449,2.261764258
29/07/2020,29,07,2020,146,20200729,3.289838921,2.203017135
30/07/2020,30,07,2020,147,20200730,0.205614933,1.644919461
31/07/2020,31,07,2020,148,20200731,3.495453854,2.056149326
01/08/2020,01,08,2020,149,20200801,1.850534393,2.026775764
02/08/2020,02,08,2020,150,20200802,1.233689595,2.114896449
03/08/2020,03,08,2020,151,20200803,3.701068786,2.643620562
04/08/2020,04,08,2020,152,20200804,4.112298652,2.555499876
05/08/2020,05,08,2020,153,20200805,0,2.085522888
06/08/2020,06,08,2020,154,20200806,5.55160318,2.849235494
07/08/2020,07,08,2020,155,20200807,0,2.349884944
08/08/2020,08,08,2020,156,20200808,1.439304528,2.29113782
09/08/2020,09,08,2020,157,20200809,2.261764258,2.438005629
10/08/2020,10,08,2020,158,20200810,0,1.909281517
11/08/2020,11,08,2020,159,20200811,3.495453854,1.821160831
12/08/2020,12,08,2020,160,20200812,2.878609056,2.232390697
13/08/2020,13,08,2020,161,20200813,3.495453854,1.938655079
14/08/2020,14,08,2020,162,20200814,4.317913584,2.555499876
15/08/2020,15,08,2020,163,20200815,1.850534393,2.614247
16/08/2020,16,08,2020,164,20200816,2.467379191,2.643620562
17/08/2020,17,08,2020,165,20200817,5.757218112,3.466080292
18/08/2020,18,08,2020,166,20200818,1.439304528,3.172344674
19/08/2020,19,08,2020,167,20200819,16.03796474,5.052252629
20/08/2020,20,08,2020,168,20200820,2.467379191,4.90538482
21/08/2020,21,08,2020,169,20200821,11.10320636,5.874712359
22/08/2020,22,08,2020,170,20200822,1.644919461,5.845338798
23/08/2020,23,08,2020,171,20200823,0.205614933,5.522229618
24/08/2020,24,08,2020,172,20200824,4.934758382,5.404735371
25/08/2020,25,08,2020,173,20200825,6.579677843,6.139074416
26/08/2020,26,08,2020,174,20200826,6.990907708,4.846637697
27/08/2020,27,08,2020,175,20200827,3.495453854,4.993505505
28/08/2020,28,08,2020,176,20200828,9.458286899,4.758517011
29/08/2020,29,08,2020,177,20200829,5.757218112,5.345988247
30/08/2020,30,08,2020,178,20200830,0,5.316614685
31/08/2020,31,08,2020,179,20200831,1.439304528,4.817264135
