DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0.019889367,0
07/03/2020,07,03,2020,2,20200307,0.07955747,0
08/03/2020,08,03,2020,3,20200308,0.039778735,0
09/03/2020,09,03,2020,4,20200309,0.019889367,0
10/03/2020,10,03,2020,5,20200310,0.019889367,0
11/03/2020,11,03,2020,6,20200311,0.119336204,0
12/03/2020,12,03,2020,7,20200312,0.159114939,0.065350779
13/03/2020,13,03,2020,8,20200313,0.179004306,0.088081484
14/03/2020,14,03,2020,9,20200314,0.298340511,0.119336204
15/03/2020,15,03,2020,10,20200315,0.437566082,0.176162968
16/03/2020,16,03,2020,11,20200316,0.298340511,0.215941703
17/03/2020,17,03,2020,12,20200317,0.318229878,0.258561776
18/03/2020,18,03,2020,13,20200318,0.994468369,0.383580657
19/03/2020,19,03,2020,14,20200319,1.054136471,0.511440876
20/03/2020,20,03,2020,15,20200320,0.517123552,0.559743625
21/03/2020,21,03,2020,16,20200321,0.537012919,0.593839683
22/03/2020,22,03,2020,17,20200322,0.636459756,0.622253065
23/03/2020,23,03,2020,18,20200323,0.517123552,0.653507785
24/03/2020,24,03,2020,19,20200324,0.934800267,0.74158927
25/03/2020,25,03,2020,20,20200325,1.650817493,0.83535343
26/03/2020,26,03,2020,21,20200326,0.755795961,0.792733357
27/03/2020,27,03,2020,22,20200327,0.417676715,0.778526666
28/03/2020,28,03,2020,23,20200328,1.630928125,0.934800267
29/03/2020,29,03,2020,24,20200329,2.12816231,1.147900632
30/03/2020,30,03,2020,25,20200330,1.451923819,1.281443527
31/03/2020,31,03,2020,26,20200331,3.679532966,1.673548198
01/04/2020,01,04,2020,27,20200401,0.934800267,1.571260023
02/04/2020,02,04,2020,28,20200402,2.625396495,1.838345814
03/04/2020,03,04,2020,29,20200403,1.650817493,2.014508782
04/04/2020,04,04,2020,30,20200404,7.398844666,2.838496859
05/04/2020,05,04,2020,31,20200405,3.977873477,3.102741312
06/04/2020,06,04,2020,32,20200406,5.648580337,3.702263671
07/04/2020,07,04,2020,33,20200407,7.001057319,4.17676715
08/04/2020,08,04,2020,34,20200408,6.682827441,4.997913889
09/04/2020,09,04,2020,35,20200409,6.324818828,5.526402794
10/04/2020,10,04,2020,36,20200410,10.58114345,6.802163645
11/04/2020,11,04,2020,37,20200411,7.717074545,6.847625056
12/04/2020,12,04,2020,38,20200412,5.489465398,7.063566759
13/04/2020,13,04,2020,39,20200413,5.946920847,7.106186832
14/04/2020,14,04,2020,40,20200414,3.222077516,6.566332575
15/04/2020,15,04,2020,41,20200415,4.276213987,6.222530653
16/04/2020,16,04,2020,42,20200416,6.583380604,6.259468049
17/04/2020,17,04,2020,43,20200417,2.346945351,5.083154035
18/04/2020,18,04,2020,44,20200418,6.364597563,4.889943038
19/04/2020,19,04,2020,45,20200419,7.935857586,5.239427636
20/04/2020,20,04,2020,46,20200420,7.935857586,5.523561456
21/04/2020,21,04,2020,47,20200421,9.168998364,6.373121577
22/04/2020,22,04,2020,48,20200422,12.03306727,7.481243474
23/04/2020,23,04,2020,49,20200423,8.631985444,7.773901309
24/04/2020,24,04,2020,50,20200424,7.339176564,8.487077196
25/04/2020,25,04,2020,51,20200425,8.771211016,8.830879118
26/04/2020,26,04,2020,52,20200426,6.603269971,8.640509459
27/04/2020,27,04,2020,53,20200427,6.682827441,8.461505152
