DATE,DD,MES,ANO,DIA,FECHA,INCIDENCIA,MEDIA_MOVIL
06/03/2020,06,03,2020,1,20200306,0.0,0.0
07/03/2020,07,03,2020,2,20200307,0.0,0.0
08/03/2020,08,03,2020,3,20200308,0.0,0.0
09/03/2020,09,03,2020,4,20200309,0.0,0.0
10/03/2020,10,03,2020,5,20200310,0.0,0.0
11/03/2020,11,03,2020,6,20200311,0.0,0.0
12/03/2020,12,03,2020,7,20200312,0.0,0.0
13/03/2020,13,03,2020,8,20200313,0.0,0.0
14/03/2020,14,03,2020,9,20200314,0.0,0.0
15/03/2020,15,03,2020,10,20200315,0.0,0.0
16/03/2020,16,03,2020,11,20200316,0.0,0.0
17/03/2020,17,03,2020,12,20200317,0.0,0.0
18/03/2020,18,03,2020,13,20200318,0.0,0.0
19/03/2020,19,03,2020,14,20200319,0.0,0.0
20/03/2020,20,03,2020,15,20200320,0.0,0.0
21/03/2020,21,03,2020,16,20200321,0.0,0.0
22/03/2020,22,03,2020,17,20200322,0.0,0.0
23/03/2020,23,03,2020,18,20200323,0.0,0.0
24/03/2020,24,03,2020,19,20200324,0.0,0.0
25/03/2020,25,03,2020,20,20200325,0.0,0.0
26/03/2020,26,03,2020,21,20200326,0.0,0.0
27/03/2020,27,03,2020,22,20200327,0.0,0.0
28/03/2020,28,03,2020,23,20200328,0.0,0.0
29/03/2020,29,03,2020,24,20200329,0.0,0.0
30/03/2020,30,03,2020,25,20200330,0.0,0.0
31/03/2020,31,03,2020,26,20200331,0.0,0.0
01/04/2020,01,04,2020,27,20200401,0.0,0.0
02/04/2020,02,04,2020,28,20200402,0.0,0.0
03/04/2020,03,04,2020,29,20200403,0.0,0.0
04/04/2020,04,04,2020,30,20200404,0.0,0.0
05/04/2020,05,04,2020,31,20200405,0.0,0.0
06/04/2020,06,04,2020,32,20200406,0.0,0.0
07/04/2020,07,04,2020,33,20200407,0.0,0.0
08/04/2020,08,04,2020,34,20200408,0.0,0.0
09/04/2020,09,04,2020,35,20200409,1.0,0.1
10/04/2020,10,04,2020,36,20200410,0.0,0.1
11/04/2020,11,04,2020,37,20200411,0.0,0.1
12/04/2020,12,04,2020,38,20200412,0.0,0.1
13/04/2020,13,04,2020,39,20200413,3.3,0.6
14/04/2020,14,04,2020,40,20200414,2.4,1.0
15/04/2020,15,04,2020,41,20200415,1.9,1.2
16/04/2020,16,04,2020,42,20200416,1.9,1.4
17/04/2020,17,04,2020,43,20200417,2.9,1.8
18/04/2020,18,04,2020,44,20200418,2.4,2.1
19/04/2020,19,04,2020,45,20200419,0.0,2.1
20/04/2020,20,04,2020,46,20200420,0.5,1.7
21/04/2020,21,04,2020,47,20200421,3.8,1.9
22/04/2020,22,04,2020,48,20200422,1.9,1.9
23/04/2020,23,04,2020,49,20200423,2.4,2.0
24/04/2020,24,04,2020,50,20200424,1.0,1.7
25/04/2020,25,04,2020,51,20200425,8.6,2.6
26/04/2020,26,04,2020,52,20200426,2.4,2.9
27/04/2020,27,04,2020,53,20200427,5.7,3.7
28/04/2020,28,04,2020,54,20200428,4.8,3.8
29/04/2020,29,04,2020,55,20200429,6.2,4.4
30/04/2020,30,04,2020,56,20200430,16.6,6.5
01/05/2020,01,05,2020,57,20200501,0.0,6.3
02/05/2020,02,05,2020,58,20200502,1.9,5.4
03/05/2020,03,05,2020,59,20200503,0.0,5.0
04/05/2020,04,05,2020,60,20200504,2.9,4.6
05/05/2020,05,05,2020,61,20200505,1.4,4.1
06/05/2020,06,05,2020,62,20200506,0.5,3.3
07/05/2020,07,05,2020,63,20200507,0.0,1.0
08/05/2020,08,05,2020,64,20200508,0.0,1.0
09/05/2020,09,05,2020,65,20200509,0.5,0.7
10/05/2020,10,05,2020,66,20200510,0.0,0.7
11/05/2020,11,05,2020,67,20200511,1.4,0.5
12/05/2020,12,05,2020,68,20200512,2.4,0.7
13/05/2020,13,05,2020,69,20200513,0.5,0.7
14/05/2020,14,05,2020,70,20200514,1.0,0.8
15/05/2020,15,05,2020,71,20200515,1.4,1.0
16/05/2020,16,05,2020,72,20200516,0.0,1.0
17/05/2020,17,05,2020,73,20200517,1.0,1.1
18/05/2020,18,05,2020,74,20200518,1.9,1.2
19/05/2020,19,05,2020,75,20200519,1.4,1.0
20/05/2020,20,05,2020,76,20200520,0.0,1.0
21/05/2020,21,05,2020,77,20200521,2.4,1.2
22/05/2020,22,05,2020,78,20200522,6.7,1.9
23/05/2020,23,05,2020,79,20200523,4.3,2.5
24/05/2020,24,05,2020,80,20200524,0.0,2.4
25/05/2020,25,05,2020,81,20200525,10.5,3.6
26/05/2020,26,05,2020,82,20200526,1.0,3.5
27/05/2020,27,05,2020,83,20200527,3.8,4.1
28/05/2020,28,05,2020,84,20200528,4.3,4.3
29/05/2020,29,05,2020,85,20200529,4.3,4.0
30/05/2020,30,05,2020,86,20200530,4.3,4.0
31/05/2020,31,05,2020,87,20200531,1.4,4.2
01/06/2020,01,06,2020,88,20200601,2.4,3.1
02/06/2020,02,06,2020,89,20200602,6.2,3.8
03/06/2020,03,06,2020,90,20200603,5.2,4.0
04/06/2020,04,06,2020,91,20200604,8.1,4.5
05/06/2020,05,06,2020,92,20200605,5.2,4.7
06/06/2020,06,06,2020,93,20200606,6.2,5.0
07/06/2020,07,06,2020,94,20200607,2.4,5.1
08/06/2020,08,06,2020,95,20200608,4.8,5.4
09/06/2020,09,06,2020,96,20200609,6.7,5.5
10/06/2020,10,06,2020,97,20200610,2.4,5.1
11/06/2020,11,06,2020,98,20200611,6.2,4.8
12/06/2020,12,06,2020,99,20200612,5.7,4.9
13/06/2020,13,06,2020,100,20200613,1.4,4.2
14/06/2020,14,06,2020,101,20200614,0.5,3.9
15/06/2020,15,06,2020,102,20200615,1.9,3.5
16/06/2020,16,06,2020,103,20200616,0.5,2.6
17/06/2020,17,06,2020,104,20200617,3.8,2.9
18/06/2020,18,06,2020,105,20200618,2.4,2.3
19/06/2020,19,06,2020,106,20200619,1.4,1.7
20/06/2020,20,06,2020,107,20200620,11.9,3.2
21/06/2020,21,06,2020,108,20200621,11.9,4.8
22/06/2020,22,06,2020,109,20200622,2.9,5.0
23/06/2020,23,06,2020,110,20200623,5.2,5.6
24/06/2020,24,06,2020,111,20200624,2.4,5.4
25/06/2020,25,06,2020,112,20200625,3.8,5.6
26/06/2020,26,06,2020,113,20200626,8.1,6.6
27/06/2020,27,06,2020,114,20200627,5.2,5.6
28/06/2020,28,06,2020,115,20200628,0.0,3.9
29/06/2020,29,06,2020,116,20200629,1.4,3.7
30/06/2020,30,06,2020,117,20200630,3.8,3.5
01/07/2020,01,07,2020,118,20200701,2.9,3.6
02/07/2020,02,07,2020,119,20200702,4.3,3.7
03/07/2020,03,07,2020,120,20200703,2.4,2.9
04/07/2020,04,07,2020,121,20200704,1.4,2.3
05/07/2020,05,07,2020,122,20200705,1.0,2.4
06/07/2020,06,07,2020,123,20200706,2.4,2.6
07/07/2020,07,07,2020,124,20200707,4.8,2.7
08/07/2020,08,07,2020,125,20200708,1.0,2.4
09/07/2020,09,07,2020,126,20200709,1.4,2.0
10/07/2020,10,07,2020,127,20200710,6.7,2.6
11/07/2020,11,07,2020,128,20200711,6.7,3.4
12/07/2020,12,07,2020,129,20200712,0.5,3.3
13/07/2020,13,07,2020,130,20200713,0.5,3.1
14/07/2020,14,07,2020,131,20200714,2.9,2.8
15/07/2020,15,07,2020,132,20200715,1.9,2.9
16/07/2020,16,07,2020,133,20200716,5.7,3.5
17/07/2020,17,07,2020,134,20200717,3.3,3.1
18/07/2020,18,07,2020,135,20200718,7.6,3.2
19/07/2020,19,07,2020,136,20200719,1.0,3.3
20/07/2020,20,07,2020,137,20200720,3.3,3.7
21/07/2020,21,07,2020,138,20200721,6.2,4.1
22/07/2020,22,07,2020,139,20200722,5.2,4.6
23/07/2020,23,07,2020,140,20200723,6.7,4.8
24/07/2020,24,07,2020,141,20200724,5.2,5.0
25/07/2020,25,07,2020,142,20200725,7.1,5.0
26/07/2020,26,07,2020,143,20200726,1.9,5.1
27/07/2020,27,07,2020,144,20200727,9.0,5.9
28/07/2020,28,07,2020,145,20200728,6.7,6.0
29/07/2020,29,07,2020,146,20200729,11.9,6.9
30/07/2020,30,07,2020,147,20200730,19.0,8.7
31/07/2020,31,07,2020,148,20200731,16.2,10.3
01/08/2020,01,08,2020,149,20200801,10.5,10.7
02/08/2020,02,08,2020,150,20200802,5.2,11.2
03/08/2020,03,08,2020,151,20200803,24.2,13.4
04/08/2020,04,08,2020,152,20200804,20.4,15.3
05/08/2020,05,08,2020,153,20200805,29.5,17.9
06/08/2020,06,08,2020,154,20200806,20.4,18.1
07/08/2020,07,08,2020,155,20200807,22.8,19.0
08/08/2020,08,08,2020,156,20200808,22.8,20.8
09/08/2020,09,08,2020,157,20200809,5.7,20.8
10/08/2020,10,08,2020,158,20200810,42.3,23.4
11/08/2020,11,08,2020,159,20200811,36.1,25.7
12/08/2020,12,08,2020,160,20200812,26.6,25.3
13/08/2020,13,08,2020,161,20200813,24.7,25.9
14/08/2020,14,08,2020,162,20200814,35.7,27.7
15/08/2020,15,08,2020,163,20200815,14.7,26.6
16/08/2020,16,08,2020,164,20200816,5.2,26.5
17/08/2020,17,08,2020,165,20200817,41.8,26.4
18/08/2020,18,08,2020,166,20200818,27.1,25.1
19/08/2020,19,08,2020,167,20200819,27.6,25.3
20/08/2020,20,08,2020,168,20200820,27.1,25.6
21/08/2020,21,08,2020,169,20200821,36.6,25.7
22/08/2020,22,08,2020,170,20200822,21.4,26.7
23/08/2020,23,08,2020,171,20200823,4.3,26.6
24/08/2020,24,08,2020,172,20200824,40.9,26.4
25/08/2020,25,08,2020,173,20200825,49.0,29.5
26/08/2020,26,08,2020,174,20200826,33.8,30.4
27/08/2020,27,08,2020,175,20200827,24.2,30.0
28/08/2020,28,08,2020,176,20200828,12.8,26.6
